Team,G,MP,FG,FGA,FG_percent,3P,3PA,3P_percent,2P,2PA,2P_percent,FT,FTA,FT_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS_percent,Off_eFG_percent,Off_TOV_percent,Off_ORB_percent,Off_FT_FGA,Def_eFG_percent,Def_TOV_percent,Def_DRB_percent,Def_FT_FGA,Arena,Attendance,Attendance_per
L.A. Lakers,82,240.3,38.3,85.1,0.45,9.4,24.8,0.381,28.8,60.3,0.478,17,22.4,0.757,9.1,32,41,24.5,7.5,5.4,15.1,19.8,103,26.8,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,STAPLES Center,771974,18829
Memphis,82,241.5,38.1,82,0.464,4.9,14,0.353,33.1,68,0.487,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,FedEx Forum,685458,16718
Miami,82,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.558,17.5,23,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,AmericanAirlines Arena,811036,19781
Milwaukee,82,242.4,36,82.2,0.438,6.7,18.9,0.353,29.3,63.2,0.464,16.8,22.5,0.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5,24.7,15,67,20,62,-8.18,-0.23,-8.41,103,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,BMO Harris Bradley Center,552067,13465
Minnesota,82,242.1,38.9,87.5,0.444,7.3,21.4,0.341,31.6,66.1,0.478,21.8,28.1,0.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9,26.3,40,42,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,Target Center,597157,14565
New Orleans,82,242.1,37.8,82.5,0.459,5.9,15.9,0.373,31.9,66.6,0.479,18.2,23.6,0.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7,24.3,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,Smoothie King Center,672029,16391
New York,82,242.1,36.9,82.2,0.449,9.3,24.9,0.372,27.7,57.3,0.482,15.5,20.4,0.761,10.6,29.7,40.3,20,7.7,4.5,13,22.1,98.6,28.3,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245,Madison Square Garden (IV),812292,19812
Oklahoma City,82,241.5,39,82.7,0.471,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25,0.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,Chesapeake Energy Arena,746323,18203
Orlando,82,243.4,36.9,82.7,0.445,6.9,19.5,0.353,30,63.3,0.474,15.9,20.9,0.763,9.7,32.4,42,21,7.7,4.3,14.9,20.5,96.5,24.6,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,Amway Center,666046,16245
Philadelphia,82,242.1,37.9,87.2,0.435,7,22.5,0.312,30.9,64.7,0.477,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4,16.9,22.5,99.5,23.4,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,Wells Fargo Center,568632,13869
Phoenix,82,240.9,38.7,83.5,0.463,9.3,25.1,0.372,29.4,58.4,0.503,18.5,24.4,0.758,11.3,31.7,43,19.1,8.4,4.6,15.3,21.9,105.2,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237,US Airways Center,650739,15872
Portland,82,242.1,39.1,87,0.45,9.4,25.3,0.372,29.7,61.7,0.481,19.1,23.5,0.815,12.5,34,46.4,23.2,5.5,4.7,13.7,19.2,106.7,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28,0.22,0.488,11,74.7,0.194,Moda Center,809612,19747
Sacramento,82,241.8,36.9,82.5,0.447,6,18,0.333,30.9,64.5,0.479,20.7,27.3,0.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5,24.9,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,667949,16291
San Antonio,82,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32,62,0.517,15.7,20,0.785,9.3,34,43.3,25.2,7.4,5.1,14.4,18.2,105.4,28.9,62,20,61,21,7.72,0.28,8,110.5,102.4,8.1,95,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,AT&T Center,755031,18415
Toronto,82,243.4,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7,4.2,14.1,23,101.3,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,Air Canada Centre,748339,18252
Utah,82,241.2,36,81.1,0.444,6.6,19.2,0.344,29.4,61.9,0.474,16.4,22,0.747,11,30.2,41.2,20.3,7,4.5,14.6,20.7,95,24.5,25,57,22,60,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,EnergySolutions Arena,745203,18176
Washington,82,244.6,38.7,84.4,0.459,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7,26.3,44,38,45,37,1.27,-0.79,0.48,106,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,Verizon Center,698068,17026
